smiles,BDE,Density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,Td
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nnc2c1N,280.4569765,1.881450924,8163.369976,31.0549502,5260.508046,3334.630586,668.7197823,328.6411018,245.4580914
NN=c1[nH]c([N+](=O)[O-])c(N)n1[N+](=O)[O-],279.2769665,1.865606709,8160.702408,31.18691582,4537.859471,3442.978248,727.751187,116.1963111,223.7060976
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])cc12,279.1499491,1.824209278,8034.660211,29.83798868,5783.854277,3743.380045,660.6279934,307.1309072,221.0738459
NN=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c(=O)n1N,278.9120319,1.899895616,8060.075606,30.5548222,4590.775207,3222.835651,700.8866458,-29.89604792,221.9365005
NN=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c(=O)[nH]1,278.8856561,1.908852781,8005.815865,31.33980508,4620.256625,3035.387306,678.7994653,-76.28076021,256.2903975
NN=c1n([N+](=O)[O-])cc([N+](=O)[O-])n1N,278.8550709,1.810160523,8049.796938,30.00754524,5166.872721,3798.756546,726.0504345,147.321491,192.842828
Nc1nc([N+](=O)[O-])c[n-][n+]1=O,278.4435922,1.753081276,8073.825961,28.22550206,5441.505397,3617.683507,693.1563499,105.4411632,201.3625596
Nc1nonc1[N+](=O)[O-],278.2806111,1.736660783,8225.601807,29.00840451,5618.217079,3823.724293,679.9056474,207.3591528,133.5365562
Nc1[nH]c(=O)n2c([N+](=O)[O-])nnc2c1[N+](=O)[O-],278.10522,1.947191823,8019.902963,31.54628582,4494.340846,3028.471399,644.3627797,38.77344334,255.5715377
Nn1nc2c(=O)n(N)nc([N+](=O)[O-])c2c1[N+](=O)[O-],278.031917,1.874449847,8134.885105,30.24634935,5056.967259,3471.430298,664.7948453,111.4536774,239.1318244
Nc1c([N+](=O)[O-])nc([N+](=O)[O-])n2c(N)nnc12,277.844195,1.826657117,8008.463125,29.71920649,4852.234657,3333.902392,668.1938018,276.3276247,263.6544349
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc12,277.7248697,1.887692936,8828.11325,36.31481533,6111.408954,4227.562362,686.0307144,396.0803758,216.7510349
Nc1nnc2n1c1nnc([N+](=O)[O-])n1c1nnc([N+](=O)[O-])n21,277.7087061,1.87781004,8008.631951,30.9010156,5192.43925,3370.665495,615.4032762,707.5371164,306.3387605
NN=c1[nH]c([N+](=O)[O-])nc([N+](=O)[O-])c1N,277.1205878,1.882354276,8088.949049,30.00239874,4324.095343,3327.703081,706.4985111,96.42667136,220.142267
O=c1[nH]nc([N+](=O)[O-])[nH]1,276.576984,1.870805782,8092.193716,30.27400198,4153.552344,2886.157028,688.6473669,-94.17201578,208.7927532
NN1N=C([N+](=O)[O-])N(N)N=C1[N+](=O)[O-],276.2527525,1.878337655,8908.898028,36.60083491,5671.627085,3937.115801,759.4288434,320.7639703,238.6661056
O=[N+]([O-])c1nnc([N+](=O)[O-])[nH]1,275.8218173,1.90453685,8825.733019,36.06850463,5910.125399,4002.284971,662.7454871,164.5572784,180.6882436
Nc1nn2nnc([N+](=O)[O-])c2nc1[N+](=O)[O-],275.4098613,1.883354699,8690.927948,33.00259542,5795.29251,3738.191334,663.6507961,448.1761486,218.7038087
Nc1nn([N+](=O)[O-])c2nnc3n(N)nc([N+](=O)[O-])n1-n32,275.0877874,1.891000382,8516.147551,33.91983893,5764.050728,3842.931192,689.8331609,662.2543301,254.5847049
