ID,DetoQ(J/g),SMILES
AMNPHA,3045,[O-][N+](=O)c1ccc(c(c1)O)N
AMNTPY,3396,[O-][N+](=O)c1cccnc1N
ANOQUR,2090,N#C[C@H](c1ccccc1[N+](=O)[O-])CC1=CCCCC1=O
ANTZCO,3515,[O-][N+](=O)N1CN(CN(CN(C1)C(=O)C)[N+](=O)[O-])C(=O)C
AOMOQU,2768,COc1cc([N+](=O)[O-])c2c(c1OC(=O)C)cccn2
AREJEO,2943,O/N=C/1\[C@@H](CCc2c1cccc2)[N+](=O)[O-]
ARIFUD,2375,OCCCn1c(C)ncc1[N+](=O)[O-]
ATOPOP,1764,Cc1cccc(c1/N=C/c1ccc(cc1)[N+](=O)[O-])C
ATUJIK,3166,[O-][N+](=O)c1ccc(c2c1non2)NCCN1CCOCC1
AVALEQ,2366,O=C1C=CN2[C@@H]([C@H]1C)C=Cc1c2cccc1[N+](=O)[O-]
AWUJIM,2477,COc1ccc(cc1)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
AWULAG,2482,COc1ccccc1/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
AXAFIP,2039,O=C1Nc2cccc(c2C(=O)N2[C@@H]1CCC2)[N+](=O)[O-]
AYALOC,6429,[O-][N+](=O)OC[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42CO[N+](=O)[O-]
AYAMIX,1772,C=CCn1c(/C=C/C=C/N(C)C)nc2c1cc(cc2)[N+](=O)[O-]
AYECEM,2330,[O-][N+](=O)c1c(C(=O)N2CCOC2=O)n(nc1CC)C
AYUGUX01,2045,Cc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
AZAGAJ,3058,[O-][N+](=O)c1cc(ccc1N/N=C/1\C[C@H]2C[C@@H]1c1c2cccc1)[N+](=O)[O-]
AZAXEG,3297,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-]
AZILOM01,3234,O=C(c1ccco1)N/N=C/c1ccccc1[N+](=O)[O-]
AZIWUD,1590,O=C(/N=C/1\NCCN1c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
AZORUD,1836,[O-][N+](=O)c1ccc(cc1)/N=C/c1c2ccccc2cc2c1cccc2
BABBUB,3725,[O-][N+](=O)N=C1NCCN1
BABRIF,5420,[O-][N+](=O)C1=C([N-]O[N+]1=O)c1ccccc1
BAFGUL01,3713,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-]
BAFHAS,3731,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAFHEW,3719,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAJBUJ,2071,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC
BAKLII,4760,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O
BAKXOB,4737,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BALYAR,2435,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C
BANFIG,3254,NNC(=O)c1cccc(c1)[N+](=O)[O-]
BANHOO01,2475,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N
BAPXIB,2369,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC
BAQLUD,4010,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BASCAC,2863,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1
BATGIN,2678,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-]
BAVTAT,2293,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-]
BAYXIJ,3532,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BAZPIC,2202,CN(c1ccc(cc1N)[N+](=O)[O-])C
BAZPOI,2228,CN(c1ccc(c(c1)N)[N+](=O)[O-])C
BAZPUO,2628,COc1cc(ccc1[N+](=O)[O-])N(C)C
BCBDNT,5437,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2
BCONBZ10,2921,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1
BEBVUZ,1928,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1
BEDROT,3071,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-]
BEDWOX01,2917,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-]
BEKDAW,3170,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-]
BELMOU,3081,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1
BENVEW,3726,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
BEPQET,2013,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2
BEQTUP,2294,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-]
BETVUR,1318,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2
BETWAY,1350,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2
BEXWEI,1963,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C
BEYZEK,3600,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
BICNUW,3697,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-]
BICWEP,4388,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
BIHVIY,3238,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-]
BIHVOE,4576,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BIHVUK,2496,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
BIKKUE,1976,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1
BILMAM,2097,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1
BINROF,4854,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-]
BINSAS,6433,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2
BINSUM,5669,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
BIPGOZ,3275,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-]
BIPJUF,4010,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BIVKUM,3011,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1
BIVQAB,2244,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C
BIVVOU,2055,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
BIXCOD,3221,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C
BIXCUJ,3219,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C
BOBMAG01,3696,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
BOCPIS,3448,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C
BOCROA,2110,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-]
BOCYOI,3421,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
BOGSIA,4172,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOJDOU,2458,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
BOLPEX,3220,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-]
BOMHAM,2785,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-]
BOPQUU,1610,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1
BOQHEU,3540,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOQJAS,3190,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-]
BOQWUZ,4610,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-]
BORHAS,3059,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC
BORHIA,2359,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1
BOSVIO,4464,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-]
BOTLEC,2008,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C
BOTMUT,3016,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
BOWSIP,2626,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
BUDKER,3513,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-]
BUDVEC,2912,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-]
BUDVIH,3276,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C
BUFDUC,2285,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O
BUGKIY,5710,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N
BUGKOE,6479,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-]
BUNCIW,4939,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C
BURJAZ,2771,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1
BURJED,2776,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
BURKUU,4293,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BUSLUY,2560,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2
BUTDID,2106,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
BUXJAH,4235,N#Cc1cccc(c1C#N)[N+](=O)[O-]
BUYJAG,1552,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC
BUYPUG10,4415,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BUZVOH,2642,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2
BYPOXO,3338,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
BZOCYX10,3422,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1
CABLIA,1304,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-]
CACBUF,1685,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C
CACFOD01,4230,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
CACNIG,2071,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O
CAFQUW,4262,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CAJTEM,2464,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1
CANKIL,2136,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC
CANXIA,3786,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO
CASBOQ01,4972,[O-][N+](=O)c1c[nH]nc1n1cnnn1
CATJIQ01,6285,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CATLUE,3460,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CAVDAF,2504,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C
CAVROG,2955,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N
CAWWED,1667,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1
CAXNIY,2842,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-]
CAYMAR,1812,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2
CECCEU,2180,[O-][N+](=O)c1cccc2c1c1ccccc1NC2
CEDMUV,3417,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1
CEDQAF,2555,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-]
CEDZUG,6901,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
CEGVOB,2230,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
CEKVOD,2589,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1
CEQXEB,4904,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
CICMAD01,2528,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-]
CIDQIP,1392,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C
CIFROY,4790,[O-][N+](=O)c1n[nH]cn1
CIGSUJ,5458,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-]
CIJBAA,2806,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1
CIJDAC,2018,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N
CIJYIE,3923,N#Cc1[nH]c(nc1[N+](=O)[O-])C
CILBII,5692,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CINVIE,4628,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-]
CIQCAJ,2601,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O
CIQRIE,2870,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-]
CIVVEI10,3456,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CIWMAW01,4337,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-]
CIWMEA10,6693,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
CMDNFL,3878,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N
CMNFLU10,4872,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N
CNOXPA,2624,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C
COCNBZ01,3036,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1
CODYAX,2718,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O
COGFUB,6456,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-]
COGGAI,6030,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-]
COMGUG,2411,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-]
COQVAF,3502,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-]
COWBEV,5766,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
COWNUX,1280,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-]
COXXIW,2284,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N
COYLAF03,6472,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CTMTNA,6291,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
CUBHEO,2497,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-]
CUBKAN,2423,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
CUDYEH,2124,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUDYIL,2269,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUHZEM,2396,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2
CUKCAM10,3910,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
CUKRUW,2820,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1
CUKSIK,1361,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O
CUMQEI,2362,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1
CUNCOE,2653,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
CUNGAT,3923,CN/C=C/[N+](=O)[O-]
CUNTOU,2706,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
CUNVAI,3985,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
CUNWEN,3325,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CUPPIO,1908,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
CUPQEL,1912,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-]
CUPSAJ,1987,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
CURNIO,2723,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1
CUTWIX,3723,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWOD,3731,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWUJ,3750,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTXAQ,2667,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C
CUTXUL,1795,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O
CUVXOG,6122,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CUZDEG,4592,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
CUZMOZ,4090,[O-][N+](=O)c1ccn(n1)C
CUZMUF,4127,Cn1ncc(c1)[N+](=O)[O-]
DABRIK,2261,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
DABTEI,2527,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC
DACYEL,4362,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DACZIT,1822,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1
DADQIJ,3125,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
DAFBOB,2621,[O-][N+](=O)/C=C/1\CCCN1C
DAFGAS,5511,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-]
DAGREJ,1479,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O
DAHLAZ,2492,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1
DAJXUH,4011,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-]
DAPJOU,5025,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-]
DARQUJ,2056,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
DARRAQ,3320,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
DARWAX,3766,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-]
DARWEB,2799,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-]
DATGEL,2044,[O-][N+](=O)c1ccc(c(c1N)C)C
DATNBZ01,4949,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DAVKET,1629,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-]
DAVQOH,3910,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-]
DAVXAZ,4875,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXED,4877,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXIH,4222,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXON,4151,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVXUT,4141,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVYAA,3393,[O-][N+](=O)C1=C(C)[C@]([C@]([C@@]1(C)[N+](=O)[O-])(O)C(=O)C)(C)O
