smiles,BDE_pred,D_pred
O=[N+]([O-])N=CC1=C(N[N+](=O)[O-])C(=C2N=NN=N2)C=C([N+](=O)[O-])N1N[N+](=O)[O-],122,8175
Nc1nc(=O)n2nnn(N[N+](=O)[O-])c2n1,121,8175
Nn1c(C=N[N+](=O)[O-])nc2c1c(=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],120,8175
Nn1c(C=N[N+](=O)[O-])nc2c1c(=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],120,8175
Nc1c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n(C=N[N+](=O)[O-])c1=O,171,8174
O=c1c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc2n(C=N[N+](=O)[O-])c([N+](=O)[O-])nn12,170,8174
O=c1c2c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c2nc2n([N+](=O)[O-])c([N+](=O)[O-])c(C=N[N+](=O)[O-])n12,170,8174
Nc1c([N+](=O)[O-])nc2nnc(C=N[N+](=O)[O-])n2c1[N+](=O)[O-],162,8174
O=[N+]([O-])N=Cc1nc2nc([N+](=O)[O-])nn2c([N+](=O)[O-])c1C=N[N+](=O)[O-],144,8174
Nc1c(N[N+](=O)[O-])nn2c([N+](=O)[O-])n[nH]c12,138,8174
NN=c1c2ncnc([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],130,8174
O=c1[nH]c2nc(C=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=N[N+](=O)[O-])c2n1[N+](=O)[O-],126,8174
O=[N+]([O-])N=CC1=C(N[N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C(N[N+](=O)[O-])N1,122,8174
Nc1n[nH]c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])nc12,261,8173
Nn1c(C=N[N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])nc2c1=NC=N[N+](=O)[O-],180,8173
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])nn12,162,8173
Nc1c([N+](=O)[O-])n(N[N+](=O)[O-])c2nc3c(c([N+](=O)[O-])nn3[N+](=O)[O-])c(=O)n12,154,8173
Nc1c(C=N[N+](=O)[O-])c2nnc([N+](=O)[O-])n2c(=O)n1[N+](=O)[O-],153,8173
Nc1c(C=N[N+](=O)[O-])n2nc([N+](=O)[O-])nc2n([N+](=O)[O-])c1=O,148,8173
NN=c1c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],128,8173
O=[N+]([O-])N=Cn1ncc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],123,8173
N=C1N=C2N(N[N+](=O)[O-])C([N+](=O)[O-])=C([N+](=O)[O-])N2C1=NN,120,8173
Nc1c([N+](=O)[O-])nc2n(C=N[N+](=O)[O-])nc([N+](=O)[O-])n2c1=O,191,8172
O=c1c2c(C=N[N+](=O)[O-])nn([N+](=O)[O-])c2nc2n(C=N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,166,8172
Nc1nc([N+](=O)[O-])c2c(n1)c([N+](=O)[O-])nn2C=N[N+](=O)[O-],161,8172
O=c1n(C=N[N+](=O)[O-])c2c(=NC=N[N+](=O)[O-])[nH]c([N+](=O)[O-])nc2n1[N+](=O)[O-],148,8172
O=[N+]([O-])N=Cc1nc2c(=NN[N+](=O)[O-])n(C=N[N+](=O)[O-])c([N+](=O)[O-])nc2n1C=N[N+](=O)[O-],130,8172
NC1=C(N)N(N[N+](=O)[O-])C(N[N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,124,8172
NN=C1N=C2N(N[N+](=O)[O-])C([N+](=O)[O-])=C([N+](=O)[O-])N2C1=NN,121,8172
Nc1nc([N+](=O)[O-])n2nc(N[N+](=O)[O-])oc12,120,8172
Nn1c(=O)n(N[N+](=O)[O-])c2c(=O)n(N[N+](=O)[O-])c([N+](=O)[O-])nc21,150,8171
Nn1nc(N[N+](=O)[O-])c2c([N+](=O)[O-])nn(N)c2c1=O,141,8171
O=c1n([N+](=O)[O-])nc([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])c(C=N[N+](=O)[O-])n12,140,8171
O=c1n(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1C=N[N+](=O)[O-],133,8171
O=c1n(N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c2n1N[N+](=O)[O-],133,8171
Nc1c([N+](=O)[O-])n2c(C=N[N+](=O)[O-])nnc2n([N+](=O)[O-])c1=O,132,8171
O=[N+]([O-])N=CC1=CN(N[N+](=O)[O-])C([N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,131,8171
O=[N+]([O-])Nc1noc2nc([N+](=O)[O-])cn12,122,8171
Nc1c([N+](=O)[O-])n2c(N)nnc2n([N+](=O)[O-])c1=O,226,8170
Nc1nn(C=N[N+](=O)[O-])c(=O)n2c([N+](=O)[O-])c([N+](=O)[O-])nc12,188,8170
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n(C=N[N+](=O)[O-])c([N+](=O)[O-])c(C=N[N+](=O)[O-])n12,182,8170
N=c1c2[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],167,8170
NN=c1c2c(nc([N+](=O)[O-])n1N)n([N+](=O)[O-])c(=O)n2N[N+](=O)[O-],149,8170
Nn1cnc2c(c1=O)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],131,8170
NC1=C(N[N+](=O)[O-])N(N[N+](=O)[O-])C(N)=C(N[N+](=O)[O-])C1=C1N=NN=N1,124,8170
O=c1c2c(n(C=N[N+](=O)[O-])c(=O)n1[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],122,8170
Nn1c(=O)n([N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c21,121,8170
O=[N+]([O-])c1nn([N+](=O)[O-])c2[nH]ncc12,223,8169
Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c(=NN[N+](=O)[O-])c2n1,162,8169
Nn1nc([N+](=O)[O-])c2c(C=N[N+](=O)[O-])nc([N+](=O)[O-])nc21,152,8169
NC1=CC(=C2N=NN=N2)C([N+](=O)[O-])=C([N+](=O)[O-])N1N[N+](=O)[O-],138,8169
NN1C(C=N[N+](=O)[O-])=C([N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=C1C=N[N+](=O)[O-],134,8169
Nn1nc2c(=O)[nH]nc([N+](=O)[O-])c2c1N[N+](=O)[O-],133,8169
O=c1c2c(nc([N+](=O)[O-])n1N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],128,8169
Nc1nc2c(=NN[N+](=O)[O-])n(N)c(=O)n(N[N+](=O)[O-])c2n1N[N+](=O)[O-],127,8169
Nc1c([N+](=O)[O-])c(=O)[nH]c2nnc([N+](=O)[O-])n12,264,8168
Nc1nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])nc1-2,201,8168
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2c1nc([N+](=O)[O-])n2N[N+](=O)[O-],154,8168
O=[N+]([O-])Nc1nnc2n1c1nncn1c1nnc(N[N+](=O)[O-])n12,150,8168
Nc1nc([N+](=O)[O-])nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c(N)nc12,146,8168
N=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2[nH]c(=O)n1N[N+](=O)[O-],140,8168
O=[N+]([O-])NC1=N/C(=C2/C=NO[N+]2=O)O[N-]1,138,8168
O=c1n(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c(=N[N+](=O)[O-])c2n1C=N[N+](=O)[O-],137,8168
O=c1n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc[nH]c2n1N[N+](=O)[O-],126,8168
Nc1c(N[N+](=O)[O-])[nH]c(=O)n2c(N[N+](=O)[O-])nnc12,125,8168
Nc1nc(C=N[N+](=O)[O-])c2c(n1)c([N+](=O)[O-])nn2[N+](=O)[O-],143,8167
NN=c1c2c(nc([N+](=O)[O-])n1N)n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],140,8167
N=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1N,135,8167
Nc1nc2c(=O)n(C=N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c2n1[N+](=O)[O-],132,8167
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1N[N+](=O)[O-],131,8167
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])[nH]c(=O)n1N[N+](=O)[O-],131,8167
Nn1c(C=N[N+](=O)[O-])nc2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])c1=NN[N+](=O)[O-],127,8167
NC1=C(N[N+](=O)[O-])N(N[N+](=O)[O-])C(N[N+](=O)[O-])=C(N)C1=C1N=NN=N1,124,8167
Nn1c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2n([N+](=O)[O-])c1=O,121,8167
Nc1c([N+](=O)[O-])nn2c(=O)[nH]nc([N+](=O)[O-])c12,258,8166
Nn1nc([N+](=O)[O-])c2c(C=N[N+](=O)[O-])c([N+](=O)[O-])nn2c1=O,231,8166
Nn1c([N+](=O)[O-])nc2c(=N[N+](=O)[O-])[nH]c(=O)n([N+](=O)[O-])c21,161,8166
O=c1n(C=N[N+](=O)[O-])nc(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,156,8166
Nc1nn2c(=O)[nH]nc(N[N+](=O)[O-])c2c1[N+](=O)[O-],153,8166
Nc1nn(C=N[N+](=O)[O-])c(=O)c2nn([N+](=O)[O-])c([N+](=O)[O-])c12,149,8166
Nn1nc(N[N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c(=O)c21,138,8166
NN=c1c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],125,8166
NN=c1c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],125,8166
O=[N+]([O-])N=Cc1c([N+](=O)[O-])n(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n3nnnc3c12,162,8165
N=c1c2nc([N+](=O)[O-])nc(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],147,8165
O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],139,8165
O=[N+]([O-])N=CC1=C([N+](=O)[O-])C(=C2N=NN=N2)C(N[N+](=O)[O-])=C([N+](=O)[O-])N1,135,8165
Nc1nc2c(=NC=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c2n1[N+](=O)[O-],133,8165
Nc1nc2c(=NC=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n([N+](=O)[O-])c2n1N,129,8165
NN=c1c2c(nc([N+](=O)[O-])n2N)n(N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],124,8165
NN=c1c2c(nc([N+](=O)[O-])n2N)n(N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],124,8165
O=c1c2cn[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],124,8165
NN=C1N=C2N(N[N+](=O)[O-])C([N+](=O)[O-])=C(N[N+](=O)[O-])N2C1=NN,123,8165
O=c1[nH]c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1N[N+](=O)[O-],123,8165
Nc1cc([N+](=O)[O-])nn2c([N+](=O)[O-])nnc12,269,8164
Nn1c(C=N[N+](=O)[O-])nc2c1nc([N+](=O)[O-])n1c([N+](=O)[O-])c([N+](=O)[O-])nc21,206,8164
Nc1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2c1C=N[N+](=O)[O-],196,8164
Nc1c([N+](=O)[O-])nc2nc([N+](=O)[O-])nn2c1C=N[N+](=O)[O-],189,8164
N=c1c2nc([N+](=O)[O-])nc([N+](=O)[O-])c2nc([N+](=O)[O-])n1C=N[N+](=O)[O-],184,8164
Nc1c([N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2c([N+](=O)[O-])nnc12,179,8164
Nc1nc([N+](=O)[O-])c(C=N[N+](=O)[O-])c2nnc([N+](=O)[O-])n12,149,8164
O=c1[nH]c(=N[N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c2n1[N+](=O)[O-],148,8164
Nn1c(=O)n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c21,132,8164
N=c1c2c(nc(C=N[N+](=O)[O-])n1N)n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],131,8164
Nc1nc2c3nc(N[N+](=O)[O-])n([N+](=O)[O-])c3nc(N[N+](=O)[O-])n2c1[N+](=O)[O-],128,8164
Nn1c(=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N)n(N[N+](=O)[O-])c1=O,126,8164
Nn1c(=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N)n(N[N+](=O)[O-])c1=O,126,8164
N=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n(C=N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],125,8164
N=c1c2c(nc(C=N[N+](=O)[O-])n2C=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],123,8164
N=c1c2c(nc(C=N[N+](=O)[O-])n2C=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],123,8164
O=[N+]([O-])N=Cn1nnn2nc([N+](=O)[O-])cc12,173,8163
Nn1cnc2c(nc([N+](=O)[O-])n2N[N+](=O)[O-])c1=NN[N+](=O)[O-],157,8163
Nc1nc2c(c(=NN[N+](=O)[O-])n(N)c(=O)n2N[N+](=O)[O-])n1[N+](=O)[O-],135,8163
Nc1nc2c(c(=NN[N+](=O)[O-])n(N)c(=O)n2N[N+](=O)[O-])n1[N+](=O)[O-],135,8163
NC1=C(N[N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=CN1N[N+](=O)[O-],123,8163
Nc1c(N[N+](=O)[O-])nc2c3nc([N+](=O)[O-])n(N[N+](=O)[O-])c3nc([N+](=O)[O-])n12,120,8163
Nc1c([N+](=O)[O-])nc2nnc(N)n2c1[N+](=O)[O-],277,8162
Nn1nc([N+](=O)[O-])c2c(=O)[nH]n([N+](=O)[O-])c(=O)c21,236,8162
NC1=C([N+](=O)[O-])NC(N[N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,203,8162
N=c1[nH]c([N+](=O)[O-])nc2c1n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],144,8162
Nc1nc(N)c2nc([N+](=O)[O-])n([N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1,134,8162
Nc1nc([N+](=O)[O-])nc2c(=NC=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc12,125,8162
Nn1c([N+](=O)[O-])nc2c1nc(N[N+](=O)[O-])n1c(N[N+](=O)[O-])c([N+](=O)[O-])nc21,123,8162
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c2c1=O,244,8161
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])n2ncc([N+](=O)[O-])c12,178,8161
Nn1c(=O)n(N)c2c1c(=O)n(N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],150,8161
O=[N+]([O-])N=Cc1nc(C=N[N+](=O)[O-])c2c(n1)c([N+](=O)[O-])nn2[N+](=O)[O-],138,8161
NN1C=C([N+](=O)[O-])N2C(=NN[N+](=O)[O-])C(=NN[N+](=O)[O-])N=C12,133,8161
O=c1[nH]c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1C=N[N+](=O)[O-],128,8161
O=c1n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2n1N[N+](=O)[O-],128,8161
O=[N+]([O-])N=Cc1nc2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])c(=N[N+](=O)[O-])n1C=N[N+](=O)[O-],127,8161
Nn1c([N+](=O)[O-])nc2c1nc(N[N+](=O)[O-])n1c([N+](=O)[O-])c(N[N+](=O)[O-])nc21,122,8161
NC1=C([N+](=O)[O-])N(N[N+](=O)[O-])C([N+](=O)[O-])=C(N)C1=C1N=NN=N1,234,8160
N=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2n(N)c(=O)n1N[N+](=O)[O-],162,8160
Nc1nnc2c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc([N+](=O)[O-])n12,158,8160
O=[N+]([O-])N=Cc1nnnc2c1c([N+](=O)[O-])nn2C=N[N+](=O)[O-],140,8160
O=c1c2c(c(C=N[N+](=O)[O-])nn1C=N[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],135,8160
O=c1n([N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c2n1C=N[N+](=O)[O-],133,8160
Nn1c(=O)n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c(=NN[N+](=O)[O-])c21,130,8160
O=c1c2c(c(C=N[N+](=O)[O-])nn2[N+](=O)[O-])c(=O)n([N+](=O)[O-])n1C=N[N+](=O)[O-],124,8160
Nn1c(=O)n([N+](=O)[O-])c(=O)c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c21,121,8160
Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nc-2n1C=N[N+](=O)[O-],191,8159
NC1=C(N[N+](=O)[O-])NC([N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,137,8159
Nc1nc2n([N+](=O)[O-])nc(C=N[N+](=O)[O-])n2n1,137,8159
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c(=NN[N+](=O)[O-])c2n1,128,8159
O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])c(C=N[N+](=O)[O-])nn2C=N[N+](=O)[O-],122,8159
O=[N+]([O-])C1=CN([N+](=O)[O-])C=C([N+](=O)[O-])C1=C1N=NN=N1,120,8159
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c([N+](=O)[O-])ncnc2c1=N[N+](=O)[O-],120,8159
Nc1nc2c([N+](=O)[O-])nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c-2n1,203,8158
Nn1nc(C=N[N+](=O)[O-])n2nc([N+](=O)[O-])c([N+](=O)[O-])c12,197,8158
NN=c1c2nc(C=N[N+](=O)[O-])nc(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],153,8158
NN=c1c2nc([N+](=O)[O-])n(N)c2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],147,8158
Nc1c([N+](=O)[O-])nc2nnc([N+](=O)[O-])n2c1N,265,8157
O=[N+]([O-])Nc1n[nH]c2c([N+](=O)[O-])cnn12,152,8157
O=[N+]([O-])N=Cc1c([N+](=O)[O-])c2c(nc(C=N[N+](=O)[O-])n3nnnc23)n1[N+](=O)[O-],140,8157
NN=c1c2[nH]c(=O)n([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n1[N+](=O)[O-],137,8157
Nc1nc2nc3oc([N+](=O)[O-])nc3c([N+](=O)[O-])n2n1,246,8156
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nc([N+](=O)[O-])c2nnn(C=N[N+](=O)[O-])c12,160,8156
O=c1c2c(C=N[N+](=O)[O-])nn([N+](=O)[O-])c2nc2n([N+](=O)[O-])c(C=N[N+](=O)[O-])c([N+](=O)[O-])n12,156,8156
Nc1nc([N+](=O)[O-])c(C=N[N+](=O)[O-])c2nc([N+](=O)[O-])nn12,153,8156
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2c1C=N[N+](=O)[O-],127,8156
Nn1nc(C=N[N+](=O)[O-])n2nc([N+](=O)[O-])nc12,203,8155
Nc1c(C=N[N+](=O)[O-])c(=O)n2nc([N+](=O)[O-])nc2n1[N+](=O)[O-],188,8155
Nn1c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N)n(N[N+](=O)[O-])c1=O,178,8155
Nn1c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2N)n(N[N+](=O)[O-])c1=O,178,8155
Nc1nnc2n1c1nnc(N[N+](=O)[O-])n1c1nnc(N[N+](=O)[O-])n21,157,8155
O=c1c(C=N[N+](=O)[O-])c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n1C=N[N+](=O)[O-],145,8155
Nc1c([N+](=O)[O-])nn2c(=O)[nH]nc(N[N+](=O)[O-])c12,143,8155
NN=c1c2nc([N+](=O)[O-])n(N)c2n(N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],138,8155
Nn1nc([N+](=O)[O-])c2c(N[N+](=O)[O-])[nH]nc2c1=O,138,8155
Nn1c([N+](=O)[O-])nc2c(C=N[N+](=O)[O-])nc([N+](=O)[O-])nc2c1=N[N+](=O)[O-],133,8155
O=[N+]([O-])N=Cc1c([N+](=O)[O-])nc2c(nnn2N[N+](=O)[O-])c1C=N[N+](=O)[O-],124,8155
Nn1c(=O)n(N[N+](=O)[O-])c(=NN[N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c21,171,8154
NC1=CN(N[N+](=O)[O-])C([N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,166,8154
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])n2c(C=N[N+](=O)[O-])nnc2c1[N+](=O)[O-],151,8154
O=c1c2c(C=N[N+](=O)[O-])n[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],144,8154
O=[N+]([O-])N=Cc1nc(C=N[N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n1,137,8154
Nn1c(=N[N+](=O)[O-])c2nc([N+](=O)[O-])n(N)c2n(N[N+](=O)[O-])c1=O,136,8154
O=c1n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2n1[N+](=O)[O-],135,8154
Nc1ncc2nc([N+](=O)[O-])n([N+](=O)[O-])c(=NN[N+](=O)[O-])c2n1,130,8154
O=c1c2nc3c([N+](=O)[O-])c(C=N[N+](=O)[O-])n4nnc([N+](=O)[O-])c4c3nc2n([N+](=O)[O-])c(=O)n1N[N+](=O)[O-],164,8153
Nc1nc([N+](=O)[O-])n2c([N+](=O)[O-])nnc2c1C=N[N+](=O)[O-],157,8153
Nn1nc([N+](=O)[O-])c2c1c(=O)n(C=N[N+](=O)[O-])c(=O)n2[N+](=O)[O-],147,8153
O=[N+]([O-])N=CC1=C([N+](=O)[O-])NC(N[N+](=O)[O-])=C([N+](=O)[O-])C1=C1N=NN=N1,147,8153
NN=c1c2c(nc(N)n1[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],144,8153
O=c1n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n1N[N+](=O)[O-],132,8153
O=c1n(C=N[N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n1N[N+](=O)[O-],132,8153
O=c1c2c(C=N[N+](=O)[O-])nn([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n1[N+](=O)[O-],121,8153
O=c1[nH]c2nc3c(nc2n1N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n3N[N+](=O)[O-],120,8153
O=c1c2nc3c([N+](=O)[O-])c([N+](=O)[O-])n4nnc([N+](=O)[O-])c4c3nc2n(N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],178,8152
Nc1c(C=N[N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn2c1=O,168,8152
Nc1c(C=N[N+](=O)[O-])nc([N+](=O)[O-])c2nnn([N+](=O)[O-])c12,157,8152
O=[N+]([O-])N=Cc1nc([N+](=O)[O-])c(C=N[N+](=O)[O-])c2c1nnn2[N+](=O)[O-],146,8152
N=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],132,8152
O=c1c2c(c([N+](=O)[O-])nn2C=N[N+](=O)[O-])n(C=N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],128,8152
N=c1c2nc([N+](=O)[O-])n(C=N[N+](=O)[O-])c2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],124,8152
Nc1c([N+](=O)[O-])n2c(N)nnc2n(N[N+](=O)[O-])c1=O,185,8151
O=[N+]([O-])c1cnn2cnn([N+](=O)[O-])c12,178,8151
Nn1nc([N+](=O)[O-])c2c(C=N[N+](=O)[O-])nn([N+](=O)[O-])c2c1=O,165,8151
Nc1c(C=N[N+](=O)[O-])nc2n([N+](=O)[O-])nc([N+](=O)[O-])n2c1=O,159,8151
O=c1[nH]c2nc([N+](=O)[O-])[nH]c(=NN[N+](=O)[O-])c2n1N[N+](=O)[O-],142,8151
O=c1[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c12,139,8151
N=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])[nH]c(=O)n2N[N+](=O)[O-],161,8150
Nn1c([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])[nH]c(=O)n([N+](=O)[O-])c21,154,8150
Nn1c([N+](=O)[O-])nc2[nH]c(=O)n([N+](=O)[O-])c2c1=NN[N+](=O)[O-],152,8150
NC1=C([N+](=O)[O-])C(=C2N=NN=N2)C([N+](=O)[O-])=CN1N[N+](=O)[O-],150,8150
NN=c1c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1N,149,8150
NN=c1c2c(nc(C=N[N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1N,149,8150
N=c1c2nc(C=N[N+](=O)[O-])n(N)c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],140,8150
NC1=C([N+](=O)[O-])NC(N[N+](=O)[O-])=C(N[N+](=O)[O-])C1=C1N=NN=N1,140,8150
NC1=C(N[N+](=O)[O-])C(=C2N=NN=N2)C(C=N[N+](=O)[O-])=C([N+](=O)[O-])N1N[N+](=O)[O-],133,8150
O=c1n([N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n1C=N[N+](=O)[O-],131,8150
O=c1n([N+](=O)[O-])c(=NC=N[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2C=N[N+](=O)[O-])n1C=N[N+](=O)[O-],131,8150
