smiles,BDE_pred,D_pred
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1N[N+](=O)[O-],149,8813
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2n1N[N+](=O)[O-],146,8813
O=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])nc([N+](=O)[O-])n2N[N+](=O)[O-],132,8812
Nc1c([N+](=O)[O-])nc2nnc([N+](=O)[O-])n2c1[N+](=O)[O-],243,8811
O=[N+]([O-])c1nnc2n1c1nnc([N+](=O)[O-])n1c1nnc([N+](=O)[O-])n21,240,8811
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2n([N+](=O)[O-])nc([N+](=O)[O-])n12,211,8811
O=[N+]([O-])c1nn([N+](=O)[O-])c2c1cnn2[N+](=O)[O-],149,8811
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1=O,213,8810
O=[N+]([O-])NN=c1c2nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],146,8809
O=[N+]([O-])N=Cc1nc2c(=NN[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc2n1[N+](=O)[O-],121,8809
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],127,8806
N=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],127,8806
O=c1c2nc([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],128,8803
NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],127,8803
O=[N+]([O-])Nc1n[nH]c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,120,8803
O=[N+]([O-])N=Cc1c2[n-]o[n-]c-2c([N+](=O)[O-])[n+](=O)[n+]1=O,200,8798
O=[N+]([O-])Nc1nn([N+](=O)[O-])c2nnc3[nH]nc([N+](=O)[O-])n1-n32,133,8796
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2n1[N+](=O)[O-],175,8794
Nn1c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c1=O,132,8792
Nn1c(=NN[N+](=O)[O-])c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n([N+](=O)[O-])c1=O,132,8792
O=[N+]([O-])Nn1c([N+](=O)[O-])c([N+](=O)[O-])c2c1nc([N+](=O)[O-])n1nnnc21,155,8789
O=c1nc2n([N+](=O)[O-])nc([N+](=O)[O-])nc-2n1[N+](=O)[O-],146,8789
O=[N+]([O-])N=Cn1nc2c([N+](=O)[O-])nn([N+](=O)[O-])c(=N[N+](=O)[O-])c2n1,120,8789
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n(N[N+](=O)[O-])c2nc([N+](=O)[O-])nn12,149,8788
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,195,8783
O=[N+]([O-])NN=c1[nH]c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n2N[N+](=O)[O-],152,8783
Nn1c([N+](=O)[O-])nc2c(nc([N+](=O)[O-])n2[N+](=O)[O-])c1=NN[N+](=O)[O-],184,8781
O=c1n(N[N+](=O)[O-])c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])n12,141,8781
O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n1[N+](=O)[O-],186,8780
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c(=NN[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc21,120,8778
NN=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],120,8777
NN=c1c2c(nc([N+](=O)[O-])n2[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],120,8777
O=c1c2c(nnn2N[N+](=O)[O-])nc([N+](=O)[O-])n1N[N+](=O)[O-],128,8776
O=[N+]([O-])N=Cn1c([N+](=O)[O-])nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc21,121,8774
O=[N+]([O-])Nn1c([N+](=O)[O-])nc2c([N+](=O)[O-])nc([N+](=O)[O-])nc21,138,8771
O=[N+]([O-])N=c1c2nc([N+](=O)[O-])[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],132,8770
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nc([N+](=O)[O-])nc21,206,8769
Nc1nc2n([N+](=O)[O-])nc([N+](=O)[O-])n2n1,205,8761
O=[N+]([O-])Nc1c([N+](=O)[O-])nc2c3nc([N+](=O)[O-])n(N[N+](=O)[O-])c3nc([N+](=O)[O-])n12,121,8761
Nn1c([N+](=O)[O-])nc2c(=N[N+](=O)[O-])n([N+](=O)[O-])c([N+](=O)[O-])nc21,149,8759
NN=c1c2c(nc([N+](=O)[O-])n1[N+](=O)[O-])n(N[N+](=O)[O-])c(=O)n2N[N+](=O)[O-],121,8759
O=[N+]([O-])Nn1c([N+](=O)[O-])nc2nc([N+](=O)[O-])nc([N+](=O)[O-])c21,132,8758
Nn1nc([N+](=O)[O-])n2nc(N[N+](=O)[O-])nc12,128,8758
